Lon,Lat,Depth_ft,Variance
-117.1281606,32.54694931,17.00879510126884,866.4047636100343
-117.12488080408163,32.54694931,18.093532208965566,846.9956168570153
-117.12160100816327,32.54694931,19.22807766938844,828.1564683610425
-117.1183212122449,32.54694931,20.415610548305782,809.9917312786587
-117.11504141632653,32.54694931,21.6596906856499,792.6184390523722
-117.11176162040816,32.54694931,22.964226453466754,776.1659883623712
-117.1084818244898,32.54694931,24.33339121334052,760.774960192954
-117.10520202857143,32.54694931,25.771470969759445,746.5947235288037
-117.10192223265307,32.54694931,27.282627413037037,733.7795639503189
-117.09864243673469,32.54694931,28.870567260591102,722.4832018423613
-117.09536264081632,32.54694931,30.53812210367442,712.8517939639198
-117.09208284489796,32.54694931,32.286762905972545,705.0158419850851
-117.08880304897959,32.54694931,34.11609709983786,699.081808487118
-117.08552325306123,32.54694931,36.02341761770481,695.124556103114
-117.08224345714285,32.54694931,38.00338356442049,693.1818397526456
-117.07896366122449,32.54694931,40.04790403255836,693.2518861406786
-117.07568386530612,32.54694931,42.14626778789892,695.2945817069478
-117.07240406938776,32.54694931,44.28551843028795,699.2360890543317
-117.06912427346938,32.54694931,46.45102996209428,704.9760460459345
-117.06584447755102,32.54694931,48.62720512971728,712.396085598283
-117.06256468163265,32.54694931,50.79820670846001,721.3683521129639
-117.05928488571428,32.54694931,52.94864006255485,731.7629429357908
-117.05600508979592,32.54694931,55.06412725425235,743.453631033372
-117.05272529387754,32.54694931,57.13173984169768,756.321669929937
-117.04944549795918,32.54694931,59.14028202466336,770.257830437683
-117.04616570204081,32.54694931,61.08043402128925,785.1630246252722
-117.04288590612245,32.54694931,62.94477661245035,800.9479444906857
-117.03960611020408,32.54694931,64.72772268978542,817.5321184847202
-117.03632631428572,32.54694931,66.42538210967156,834.8427116148965
-117.03304651836734,32.54694931,68.03538387084545,852.8132998681183
-117.02976672244897,32.54694931,69.55667591654445,871.3827602998075
-117.02648692653061,32.54694931,70.98931863218368,890.4943461299076
-117.02320713061224,32.54694931,72.33428394893457,910.0949649891678
-117.01992733469388,32.54694931,73.59326821430557,930.1346465250787
-117.0166475387755,32.54694931,74.76852382612407,950.5661690081855
-117.01336774285714,32.54694931,75.86271210463121,971.3448088967527
-117.01008794693877,32.54694931,76.87877798331591,992.4281784993516
-117.00680815102041,32.54694931,77.81984576727396,1013.7761217224268
-117.00352835510203,32.54694931,78.68913435045917,1035.3506441882016
-117.00024855918367,32.54694931,79.48988980126073,1057.1158603250328
-116.9969687632653,32.54694931,80.22533302626591,1079.0379456204043
-116.99368896734693,32.54694931,80.89862022028481,1101.0850867383715
-116.99040917142857,32.54694931,81.51281393859546,1123.2274256154128
-116.9871293755102,32.54694931,82.07086283027512,1145.4369960498807
-116.98384957959183,32.54694931,82.5755883102368,1167.6876528775701
-116.98056978367346,32.54694931,83.0296766946036,1189.9549947695773
-116.9772899877551,32.54694931,83.43567556125046,1212.2162821599516
-116.97401019183673,32.54694931,83.79599331481793,1234.450351976633
-116.97073039591837,32.54694931,84.11290112756018,1256.6375307996223
-116.96745059999999,32.54694931,84.38853659302274,1278.7595479149677
-117.1281606,32.56672966714286,15.153468447971312,739.158715471926
-117.12488080408163,32.56672966714286,16.257864268504065,715.0795667665358
-117.12160100816327,32.56672966714286,17.408670576956265,691.1837856305109
-117.1183212122449,32.56672966714286,18.609009293715882,667.5608136578559
-117.11504141632653,32.56672966714286,19.863242020296347,644.3285194152226
-117.11176162040816,32.56672966714286,21.177444011465276,621.641510650671
-117.1084818244898,32.56672966714286,22.559983507004635,599.7009279974859
-117.10520202857143,32.56672966714286,24.022169487960493,578.7650241512049
-117.10192223265307,32.56672966714286,25.578856459735523,559.1586641224893
-117.09864243673469,32.56672966714286,27.2487646719694,541.2779054944156
-117.09536264081632,32.56672966714286,29.054090442125528,525.5831404115049
-117.09208284489796,32.56672966714286,31.01881562926461,512.5721056826428
-117.08880304897959,32.56672966714286,33.165182593302426,502.7255689899588
-117.08552325306123,32.56672966714286,35.508384576780934,496.4280496064158
-117.08224345714285,32.56672966714286,38.05070492109814,493.8838557590681
-117.07896366122449,32.56672966714286,40.777452186997245,495.0639035808741
-117.07568386530612,32.56672966714286,43.6568456587038,499.71279517733956
-117.07240406938776,32.56672966714286,46.644133530483735,507.4152010289826
-117.06912427346938,32.56672966714286,49.688100273725155,517.6896016983452
-117.06584447755102,32.56672966714286,52.73746562559585,530.0712953772043
-117.06256468163265,32.56672966714286,55.74557039023206,544.1635161849483
-117.05928488571428,32.56672966714286,58.67300373093434,559.6558608457337
-117.05600508979592,32.56672966714286,61.48857804880363,576.3200449568899
-117.05272529387754,32.56672966714286,64.16923292163136,593.9943472190571
-117.04944549795918,32.56672966714286,66.69933806789378,612.5650479356616
-117.04616570204081,32.56672966714286,69.06970215699667,631.9495520731687
-117.04288590612245,32.56672966714286,71.27647224848093,652.0831831236865
-117.03960611020408,32.56672966714286,73.32003563713033,672.9099945980597
-117.03632631428572,32.56672966714286,75.20399409147574,694.3771076545007
-117.03304651836734,32.56672966714286,76.93425367805014,716.4317580688548
-117.02976672244897,32.56672966714286,78.51825310526966,739.0202068008342
-117.02648692653061,32.56672966714286,79.96433715753057,762.0877889350149
-117.02320713061224,32.56672966714286,81.28126923972334,785.5795513853216
-117.01992733469388,32.56672966714286,82.47786862167105,809.4411046996648
-117.0166475387755,32.56672966714286,83.56275347977612,833.6194607492218
-117.01336774285714,32.56672966714286,84.54416956652327,858.0637369162376
-117.01008794693877,32.56672966714286,85.42988532967652,882.7256804549511
